extract,crid
1996,C227980
2006,1001892
2007,1002393
2007,1003121
1996,C228609
2007,1003534
2007,1012534
1996,C228886
2008,1017528
2007,1004179
1996,C229071
2009,1029295
2007,1004751
2007,1009078
2007,1005391
1996,C229704
1996,C229899
2007,1006195
,1006930
2007,1007658
2007,1008601
2007,1010559
,1011185
2008,1013247
1996,C232523
,1013573
2008,1015130
1997,C233460
1992,C191866
1992,C191906
1997,C234084
1992,C191929
1997,C234187
,1017585
,1017992
2008,1018669
,1084634
2007,1019687
1995,C235371
1992,C191972
2008,1021202
1997,C236218
2008,1021769
2009,1023364
,1024577
1997,C237892
1988,C191978
1997,C238097
2009,1025505
1997,C238798
2009,1026599
2007,1009466
2009,1027451
,1027858
2009,1028487
1997,C240296
2009,1028826
2009,1028912
2009,1029433
1997,C241114
,1030103
2009,1030287
2009,1030481
1997,C242270
2009,1032779
2009,1032972
2010,1033140
1998,C243594
1998,C243770
,1034861
2004,1034936
2010,1035161
2010,1035716
2010,1036447
,1036562
2010,1036957
2010,1037150
1998,C246369
1998,C246572
2010,1037851
,1037905
2010,1038011
2010,1038155
1998,C247127
2010,1038586
1998,C247625
,1039653
2010,1039881
1992,C192048
,1040394
1998,C248609
1992,C192051
2010,1040591
1998,C248788
2010,1040886
,1041015
2010,1041492
2010,1041609
1998,C250043
1998,C250171
2011,1043016
2011,1043722
1999,C251456
1982,C124619
1999,C251651
1999,C251805
1999,C252137
1999,C252509
1999,C252607
2011,1047406
2011,1047724
1982,C125515
1999,C256703
1999,C257201
1992,C192061
1992,C192074
2005,308231
2005,308649
2000,C259131
2000,C259496
2000,C259574
2005,309653
1992,C192095
1992,C192101
2002,286691
2000,C262653
2000,C264861
2006,311844
,1062962
2000,C267881
2013,1063257
1992,C192179
2001,C268561
2013,1064049
2001,C269551
1992,C192193
2013,1065711
2011,1049410
2012,1051870
1992,C192207
2013,1066036
1992,C192208
2013,1066217
2013,1066335
1981,C118776
1992,C192254
2013,1066720
2005,312383
,1067776
2014,1068004
2014,1068435
2014,1068609
,1068862
,1069192
2014,1069508
2014,1069736
2014,1069996
,1006589
2014,1070576
2015,1073879
2015,1074523
2008,1014836
2015,1076668
2015,1076868
2015,1077513
2015,1077567
2015,1078141
1992,C192290
,1078728
2015,1079001
2016,1079336
2016,1079531
,1079864
2008,1020541
1992,C192332
2016,1080856
,1081057
2016,1081133
2009,1024001
2016,1081280
2016,1081408
,1081787
,1023856
2016,1081995
2016,1081994
,1083082
2009,1027164
2016,1083493
,1083602
,1083671
2007,1005945
2016,1083804
2007,1007596
2017,1083890
,1084035
2017,1084168
2017,1084701
2017,1084778
2017,1084862
2017,1085102
2015,1085359
2017,1085446
,1085846
1992,C192347
2012,1086110
2005,307007
2005,305978
2005,306779
2017,1086916
,1087194
1982,C122947
2017,1087233
2015,1087315
2015,1087396
2017,1087572
2005,309061
2018,1087989
2017,1088039
2018,1088117
2017,1088337
2018,1088467
2018,1088530
2018,1088595
,1088671
,1088883
,1088984
2009,1032459
2018,1089300
2018,1089591
2018,1089609
1992,1089652
2018,1089720
,1089777
,1089824
,1089903
2015,1090098
1982,C123682
2018,1090166
2018,1090202
2006,1000048
2015,1079316
2016,1081031
2006,1000376
2006,1000380
2006,1000553
2006,1000730
2006,1000975
2006,1001263
2006,1001433
2006,1001735
2006,1001745
2006,1001939
2006,1002220
2011,1048189
2007,1002392
2007,1002582
2011,1048114
2007,1003024
2006,1003184
2007,1003370
2007,1003529
2007,1003544
2007,1003740
2007,1003948
2007,1004115
2007,1004334
2007,1005144
2007,1005868
2007,1006023
2007,1006933
2007,1007759
2007,1007937
2007,1008347
2004,1009057
2007,1008758
2007,1008951
2007,1009168
2007,1009337
2007,1009546
1982,C125304
2007,1010129
2007,1011168
2008,1013270
2008,1013511
2008,1014415
2008,1014768
1994,C206063
2008,1015125
2008,1015359
2008,1015579
2008,1016032
2008,1016581
2008,1016909
2008,1017309
2008,1017752
2008,1018201
2008,1018606
2008,1018842
2008,1019742
2008,1019982
2008,1020773
2008,1021224
2008,1021418
2008,1021697
2008,1021859
2008,1022520
2008,1022736
2008,1022758
2009,1023185
2009,1023480
2009,1023964
2009,1024139
2009,1024385
2000,265620
2009,1025358
2009,1025571
2009,1025802
2009,1025830
2009,1026291
2009,1026519
2009,1027033
2009,1027879
2009,1028404
2009,1028698
1997,C239377
2009,1029424
2009,1029687
2009,1029883
2009,1029887
2009,1030780
2009,1031099
2009,1031461
2009,1031674
2009,1031676
2009,1031870
2009,1032180
2010,1032937
2010,1034121
2010,1034653
2010,1035502
2010,1035817
2010,1036071
2010,1036599
2010,1037157
2010,1037360
2010,1037649
2010,1039152
2010,1040228
2010,1040949
2010,1041028
2010,1041257
2011,1042459
2011,1044752
2011,1044760
2011,1045051
2011,1045663
2011,1046001
2011,1046589
2011,1046809
2011,1047417
2011,1047987
2012,1051179
2001,273578
2001,275021
2012,1052367
2000,268029
2012,1056978
2012,1058372
2012,1059087
2012,1059101
2013,1060681
2013,1060954
2013,1061534
2013,1061784
2013,1061972
2013,1062215
2013,1062512
2013,1063020
2013,1063375
2013,1064315
2012,1065092
2013,1065321
2014,1066948
2014,1067815
2014,1068581
2014,1069540
2014,1070216
2014,1070667
2004,299787
2014,1071572
2014,1072321
2015,1073261
2015,1074807
2015,1075871
2015,1076144
2015,1076481
2015,1076569
2015,1077031
2016,1079337
2016,1079767
2016,1080133
2016,1081029
2016,1081098
2000,259023
2000,259270
2000,259488
2000,259558
2000,259674
2000,259930
2000,260355
2000,260359
2000,260511
2000,260702
2000,261313
2000,261517
2000,261712
2000,262119
2000,262444
2000,262671
2000,263071
2000,263254
2000,263831
2000,264593
2000,265098
2000,265276
2000,265428
2000,266015
2000,266020
2000,267236
2001,268237
2001,268594
2001,268817
2001,269064
2001,269602
2001,269754
2001,269799
2001,270179
2001,270180
2001,270407
2001,270769
2001,270952
2001,270955
2001,271137
2001,271374
2001,271402
2001,271832
2001,272034
2001,272248
2001,272399
2001,273473
2001,273848
2001,274028
2001,274212
2001,274430
2001,274562
2001,274921
2001,275142
2001,275519
2001,275734
2001,275979
2001,276277
2001,276278
2001,277200
2001,277410
2002,277417
2002,277789
1989,C172469
2002,278441
2002,278448
2002,278832
2002,279278
2002,279281
2002,279458
2002,279833
2002,280963
2002,281116
2002,281539
2002,281700
2002,281856
2002,282071
2002,282680
2002,282933
2002,283086
2002,283313
2002,283729
2002,283730
2002,283740
2002,285592
2002,283945
2002,284148
2002,284491
2002,284492
2002,284498
2002,284679
2002,284923
2002,285259
2002,285469
2002,285470
2002,285867
2002,286053
2002,286221
2003,286725
2003,287169
2003,287360
2001,287972
2003,287926
2015,1077320
2003,288519
2003,289170
2003,289400
2003,289405
2003,289408
2003,289415
2003,289416
2003,289622
2003,289749
2003,289894
2003,290103
2003,290538
2003,290742
2003,290748
2003,291138
2003,291327
2003,291486
2016,1080769
2003,291685
2003,291873
2006,1000523
2003,292833
2003,293154
2003,293544
2003,293698
2003,294008
2003,294158
2003,294346
2003,294512
2003,294639
2004,294844
2004,294997
2004,295291
2004,295498
2003,295649
2004,296006
2006,1001881
2004,296195
2004,296358
2004,296359
2004,296362
2004,296572
2004,296974
2004,297121
2004,297759
2004,297897
2004,298157
2004,298315
2005,1003587
2004,298444
2004,298559
2004,298716
2004,298871
2004,299032
2004,299456
2004,300265
2004,300363
2004,300364
2004,300365
2004,300376
2004,300460
2004,300703
