allegation_id,officer_id
C132885,13617
C149900,23618
C151502,3049
C152222,5124
C157296,5383
C181899,31597
1085148,23718
1088021,8556
1088673,14712
1088873,23404
1005033,13606
1007584,15762
1008522,17834
1009827,3869
1011342,8578
1016722,3753
1024185,8153
1014062,32208
1014396,31536
1014639,28416
1014809,9813
1016069,10697
1016351,9773
1017866,11514
1018483,18714
1018585,12617
1019987,3690
1020073,3897
1021148,8176
1021198,17830
1021870,24261
1022099,5066
1022542,18295
1022748,16043
1022944,16175
1023112,10363
1024079,12333
1024108,9309
1024775,19103
1025549,13111
1025931,19438
1028094,14646
1028711,21516
1028927,25864
1030141,6747
1030424,3443
1030575,16125
1031001,1716
1031792,23205
1033626,3443
1034643,23361
1035903,30804
1036375,25685
1036768,23975
1036887,14691
1037853,13460
1038215,448
1038732,11246
1039210,20056
1039400,22640
1039603,9072
1039797,12038
1039849,9460
1040124,16669
1042043,9460
1042143,30366
1042791,31756
1043854,24151
1044492,10534
1045912,21210
1046011,20809
1047689,14440
1047905,1696
1047973,8484
1048297,22731
1048510,29856
1049655,29180
1050325,31923
1052940,12479
1055983,2388
1051363,25965
1052141,19407
1053507,191
1053605,4278
1053667,5957
1053767,18393
1053874,32061
1054140,13091
1054738,22604
1055490,12426
1056170,476
1056741,736
1057111,32049
1057444,25380
1057789,4299
1058521,15920
1058889,30460
1059882,19834
1061230,5330
1061712,14725
1062192,27874
1063975,29768
1064199,32272
1064413,4368
1065079,18557
1065148,2852
1067064,17087
1067223,22478
1067603,22176
1068152,3793
1069209,9569
1069800,28958
1070239,29072
1070427,25191
1070572,30217
1071477,25799
1071519,25108
1071609,8861
1072375,31448
1072606,6922
1072699,18527
1072962,29205
1074496,25565
1075457,14739
1075838,11822
1075972,3425
1076078,7864
1076177,22540
1076612,54
1077320,23331
1078805,22738
1079287,32389
1079541,31473
1079982,20678
C170725,4138
C170812,11594
C171100,25975
C171600,30004
C171639,28477
C171652,14127
C171736,20132
C171753,15682
C171969,2941
C172203,21972
C172266,22356
C172448,22062
C172615,11680
C172914,6400
C173432,19774
C179609,17682
C179743,26820
C179770,1300
C179945,20379
C180161,22860
C181150,14984
C181272,7470
C181338,2808
C181401,26160
C181469,15380
C181605,11396
C181623,13517
C181683,6503
C181830,11770
C181996,607
C182338,19677
C182520,10475
C182942,13208
C182978,22147
C183428,15238
C183853,15588
C183891,25157
C184155,19200
C184284,23936
C184450,3286
C185283,31318
C185384,10351
C185475,7174
C185534,1067
C185676,1328
C185856,23047
C185977,6020
C186076,20749
C186510,2383
C186624,16894
C186739,27210
C186811,12284
C186876,7410
C187001,1871
C187045,7698
C187222,24219
C187353,20502
C187428,24952
C187844,1575
C188001,10096
C188067,13956
C188122,24290
C188179,26719
C188341,30299
C188521,22015
C188696,14207
C188726,15426
C189296,6393
C189338,27315
C189478,16358
C189539,2437
C190288,26049
C190878,22415
C190959,6800
C191115,26148
C191360,12723
C191684,6140
C191733,7655
C191881,31606
C192079,13667
C192149,178
C192169,18050
C192223,23850
C192296,31700
C192442,19732
C192900,24493
C192982,20573
C193004,13758
C193205,32529
C193749,31995
C193797,30534
C193861,16259
C195133,27125
C195468,15816
C195749,105
C195870,25987
C195961,24256
C196097,30530
C196280,12788
C196726,17043
C196792,12409
C196919,16734
C196997,7662
