allegation_id,gender,race
1063914,F,Black
1064663,F,Black
1064287,F,Black
1065356,M,Black
1065181,F,Black
1066198,F,White
1067724,F,""
1067970,"",""
1070806,M,Black
1074212,M,""
1074576,M,Black
1075451,M,""
1075343,M,""
1076071,M,""
1076620,F,White
1013839,"",""
1077705,F,White
1079556,M,Black
1080399,M,White
1076905,M,Black
1079544,F,White
1081249,F,White
1082208,M,""
1082396,M,Black
1080877,F,Black
1083582,F,White
1083644,M,""
1085998,M,White
1087033,M,""
1088149,M,Black
1088319,M,Black
1088537,"",""
1086200,M,Black
1010950,M,Black
1000245,"",""
1010050,M,""
1001341,F,Black
1000432,"",""
1002568,M,""
1003033,M,""
1003871,"",""
1003368,M,Black
1004482,F,Black
1004982,F,""
1005909,M,Black
1006811,F,Black
1009040,M,""
1014206,F,Black
1019646,"",""
1019965,F,""
1020404,F,White
1021024,M,Black
1020567,M,Black
1023114,F,Black
1023930,M,White
1024369,F,Black
1025434,M,Black
1026579,F,White
1026918,M,Black
1026323,M,Black
1027211,M,Black
1028514,F,White
1029918,F,Black
1030705,F,Black
1032603,F,""
1032471,M,Black
1027802,F,White
1033880,F,Black
1035255,M,""
1035453,"",""
1035935,F,White
1037312,F,Black
1036886,F,White
1036632,F,White
1038160,"",""
1037751,F,Black
1038395,"",""
1038444,F,""
1039527,F,Black
1040120,M,Black
1039257,F,""
1033759,M,White
1043258,"",""
1043523,M,Black
1045969,M,White
1046278,"",""
1024921,M,Black
1048041,F,Black
1048213,M,Black
1048604,F,""
1049279,F,Black
1049476,M,Black
1037410,M,Black
1050210,"",""
1050388,M,Black
1051409,F,Black
1050728,M,Black
1051727,F,White
1054176,M,Black
1039271,F,Black
1056868,M,""
1057671,F,Black
1056562,M,Black
1058298,F,""
1059803,M,Black
1061605,F,Black
1063112,M,""
1019763,F,Black
1016866,F,Black
1026858,M,Hispanic
1037354,F,Black
1036152,M,""
1048953,M,White
1047570,M,Black
1061957,F,Black
1056058,M,Hispanic
1062943,M,""
1063579,M,Black
1063579,F,Black
1063578,F,White
1063577,M,Hispanic
1063579,F,""
1063602,M,White
1063598,M,Hispanic
1063587,M,Black
1063588,M,Black
1063580,M,White
1063597,M,Black
1063599,F,White
1062763,M,Black
1063292,M,Hispanic
1063400,F,""
1063389,F,Black
1063293,M,Black
1063296,F,Black
1063294,M,White
1063295,F,Black
1063297,M,White
1063299,M,Black
1063300,F,White
1063301,F,Black
1063300,M,White
1063390,M,Black
1063364,M,Black
1063397,M,Black
1063406,M,Hispanic
1063403,F,Black
1063405,M,Black
1063695,M,White
1063698,F,Black
1063697,F,Black
1063714,M,Black
1063717,M,White
1063713,F,Black
1063713,M,Black
1063718,M,Black
1063716,F,Black
1063666,F,Hispanic
1063710,F,Black
1063708,M,""
1063709,M,Black
1063712,F,Black
1063669,M,Black
1063703,M,Hispanic
1063704,F,Black
1063695,M,White
1063700,M,Hispanic
1063701,"",""
1063706,M,Black
1063695,F,White
1063707,F,Black
1063494,F,Black
1063485,F,Black
1063486,M,Black
1063483,M,Black
1063496,M,Black
1063497,M,Black
1063499,M,Black
1063498,F,Black
1063499,F,Black
1063499,F,Black
1063498,F,Black
1063499,M,Black
1063022,M,Black
1062771,F,Black
1062771,F,Black
1063736,F,Black
1063737,M,Black
1050912,M,Black
1063735,M,Black
1062205,M,White
1063731,M,Black
1062148,M,White
1063678,M,Black
1063732,F,Black
1062205,F,""
1063596,M,Black
1063607,F,Black
1063603,M,Black
1063604,M,Asian/Pacific Islander
1063606,F,""
1063605,M,White
1057771,M,Black
1056381,M,Hispanic
1058140,M,Black
1062504,M,Black
1061549,M,Black
1062401,M,Black
1060944,M,""
1063702,F,Black
1063705,F,White
1063699,F,Black
1057260,M,White
1057260,F,White
1059200,M,Black
1063404,M,Black
1063407,M,White
1062504,M,Black
1062504,F,Black
1062504,M,Black
1062504,F,Black
1062504,M,Black
1062641,M,Hispanic
1055705,M,Black
1063426,M,White
1063417,F,Black
1063418,F,Black
1063416,M,Black
1022078,F,White
1063417,M,Black
1063408,M,Black
1063064,F,Black
1059808,M,Hispanic
1061992,M,Hispanic
1060610,M,Black
1056889,M,Black
1058817,M,Black
1060707,M,Black
1062490,M,Black
1043173,M,Hispanic
1049260,F,Black
1056391,M,Asian/Pacific Islander
1063834,F,White
1062658,M,Black
1063839,M,Black
1063838,M,Asian/Pacific Islander
1063833,M,Black
1059266,M,Black
1063835,F,Black
1063840,F,""
1062658,M,Black
1059266,M,Black
1063841,F,White
1063843,M,Black
1043205,M,Black
1039768,M,Black
1055108,F,Black
1063038,F,Hispanic
1063752,M,Black
1063753,M,Black
1063747,M,Black
1063750,M,Hispanic
1062472,M,Black
1062403,M,White
1063746,M,Hispanic
1063751,F,Black
1063749,M,Black
1063746,M,Hispanic
1063754,M,Black
1063696,M,Black
1063748,M,White
1062427,F,Black
1064085,M,Black
1064081,F,Hispanic
1064078,M,White
1064083,M,Black
1064082,F,White
1064077,F,Black
1064084,"",""
1064084,"",""
1064079,M,Black
1064064,F,Black
1064063,M,White
1064059,M,Black
1064065,F,Black
1064061,F,Black
1064062,M,Black
1064062,F,Black
1064060,M,Black
1064067,M,Black
1063508,F,White
1063507,M,Black
1063509,M,Black
1063506,F,Black
1063514,M,Black
1063510,F,Black
1063512,M,White
1063513,M,Asian/Pacific Islander
1063515,F,Black
1063511,F,Black
1063503,M,Black
1063500,F,Hispanic
1063504,F,Black
1063505,M,Hispanic
1063501,F,Black
1063516,M,Hispanic
1063528,M,White
1063523,F,White
1063837,M,White
1063845,F,""
1046486,M,Black
1063846,M,Black
1063844,F,Native American/Alaskan Native
1063020,M,Black
1063048,M,Black
1063077,F,Black
1063077,F,Black
1062947,F,Black
1062916,M,Black
1062947,M,Black
1063018,M,Hispanic
1062925,M,Black
1062986,F,Hispanic
1062986,M,White
1063317,M,Hispanic
1063831,M,Black
1063828,M,Black
1063829,F,Black
1044633,F,White
1046486,"",""
1063762,M,White
1063760,M,Black
1063761,M,""
1063765,M,Black
1063756,F,Black
1063755,F,Black
1063757,M,Hispanic
1063759,F,White
1063759,M,White
1063763,M,Black
1063767,M,White
1063772,M,Black
1063771,M,Black
1063772,M,Black
1063773,F,White
1063770,M,Black
1063768,F,Black
1063772,M,Black
1063766,M,Black
1063769,F,Black
1045175,M,Black
1051127,M,Hispanic
1053712,M,Black
1063505,M,Hispanic
1063557,F,White
1062396,F,""
1062638,F,White
1060449,F,Black
1060449,M,Black
1060449,F,Black
1058464,F,Hispanic
1058464,M,""
1064054,M,Black
1064053,"",""
1064052,M,Black
1064051,F,Black
1063527,M,Hispanic
1063517,M,Black
1063521,M,White
1063520,F,Black
1046852,F,Black
1053460,F,White
1053460,F,White
1062984,M,Black
1062982,M,Black
1063571,M,White
1063570,F,White
1063572,F,Black
1058826,M,Hispanic
1063543,F,Black
1063546,F,Black
1063542,M,Black
1063550,F,White
1063545,F,Black
1063544,M,White
1062695,F,Black
1063822,M,Hispanic
1063826,F,Black
1062639,F,Black
1062639,M,Black
1063827,M,Black
1063823,M,Black
1063830,F,Black
1062688,M,Black
1063836,M,Black
1063834,M,White
1063785,M,Black
1059266,F,Black
1062799,M,Black
1063130,M,Black
1062198,M,Black
1063772,M,Black
1062537,F,White
1059169,M,Black
1062164,M,Hispanic
1058511,M,Black
1053632,M,Black
1063542,M,Black
1063163,M,Black
1062657,F,Black
1062657,M,Black
1063947,M,White
1063953,F,White
1063948,F,Black
1063941,M,Black
1063946,F,Black
1063963,M,White
1063954,F,Black
1063958,F,Black
1063933,M,Black
1063956,F,Black
1063959,F,Black
1044802,F,Black
1044802,F,Black
1045668,M,Black
1056062,M,Black
1056062,M,Black
1059817,M,Black
1063272,F,Black
1063138,M,Black
1062928,F,""
1062772,F,Black
1062854,F,Black
1058448,F,Black
1063939,"",""
1063939,M,""
1063938,M,Black
1063929,"",""
1063936,M,Hispanic
1063940,M,""
1063940,F,Black
1063926,M,Black
1063548,F,White
1062005,M,White
1063352,"",""
1063568,M,Black
1063565,M,Black
1063565,M,Black
1063558,M,Black
1063565,F,Black
1063565,F,Black
1063562,F,Black
1063557,F,White
1063566,M,Black
1063559,M,Black
1063569,M,White
1062762,M,Black
1062770,M,White
1063044,M,Black
1062844,M,Black
1062875,M,Black
1062098,M,Black
1063848,F,Black
1062840,F,White
1062811,M,Black
1062941,M,""
1063849,M,Black
1062852,M,Black
1062840,M,Black
1062098,F,Black
1063853,F,Black
1063049,M,Black
1063852,M,Hispanic
1063100,M,Black
1063024,M,Hispanic
1063100,F,Black
1063100,F,Black
1063960,M,Black
1063957,F,Black
1063957,M,Black
1063942,F,Black
1063949,M,Black
1063952,M,Black
1063945,F,Black
1063965,F,""
1063965,M,""
1063962,M,Black
1063966,M,Black
1063968,M,White
1063398,M,Black
1060616,F,Black
1063964,M,Hispanic
1063967,M,Black
1051537,F,Black
1063925,M,Black
1063922,F,Black
1063936,M,Hispanic
1063817,M,Black
1063932,F,Black
1063923,F,Black
1063928,M,White
1063937,F,Hispanic
1063824,M,Black
1063931,F,Hispanic
1063934,M,Black
1063930,M,White
1063927,M,Black
1063935,M,Hispanic
1063609,M,Hispanic
1063920,M,White
1063566,F,White
1060081,F,White
1063105,M,Black
1058796,M,White
1060421,M,Asian/Pacific Islander
1063647,M,Black
1063654,F,Hispanic
1063653,M,Black
1063654,M,Hispanic
1063656,M,Black
1063654,M,Hispanic
1063658,F,Black
1063655,M,White
1063274,M,White
1063774,M,Black
1063085,M,Black
1063071,M,Black
1063850,M,Black
1063116,F,Black
1063100,M,Black
1063851,M,Black
1063171,M,Black
1063852,F,Hispanic
1063854,M,Black
1062749,F,Black
1063858,M,Black
1063859,M,Black
1063861,M,Black
1063858,F,Black
1063860,M,Black
1063857,F,Black
1063856,M,Black
1063855,M,Black
1063864,F,Black
1063862,M,Black
1063330,M,Black
1053482,M,Black
1063867,M,Black
1063498,F,Black
1063247,F,Black
1056374,M,White
1063498,F,Black
1059456,M,Black
1062266,F,Black
1061949,M,Black
1059655,"",""
1063969,M,Black
1063978,M,Black
1063975,M,Black
1063975,M,Black
1063972,M,Hispanic
1063976,M,Hispanic
1063971,M,Hispanic
1063974,F,White
1063977,F,Black
1062606,M,Black
1063917,M,Black
1063919,F,Black
1063921,M,Black
1063918,M,White
1063821,M,Black
1064052,M,Black
1064050,M,Hispanic
1064049,F,Black
1064055,F,Black
1063836,M,Black
1064029,M,Black
1064035,M,Black
1064025,F,Black
1064030,M,Black
1064032,M,Black
1064026,"",Black
1064034,M,Black
1064026,M,Black
1064033,F,Black
1064031,M,Black
1064027,M,White
1063662,M,Black
1063665,M,Black
1063660,F,""
1063206,F,Hispanic
1063664,F,White
1063659,M,""
1063663,M,White
1063319,M,White
1063161,F,Black
1058625,F,Hispanic
1062310,M,Black
1062857,M,Black
1062857,F,Black
1063667,M,""
1063670,M,Black
1063668,M,Black
1063863,M,Hispanic
1063869,F,Black
1056892,M,Black
1063872,M,Black
1063874,F,Black
1063871,F,Asian/Pacific Islander
1063870,M,Hispanic
1063868,M,Black
1063208,M,Hispanic
1063873,F,Black
1063865,M,Black
1063186,M,Black
1063872,F,Black
1063193,M,Black
1063881,F,Black
1063876,M,Black
1063863,M,Hispanic
1063877,"",""
1063875,F,Black
1063881,F,Black
1063971,M,Hispanic
1063970,F,Black
1063752,M,Black
1063984,M,Hispanic
1063984,F,Hispanic
1063979,M,Black
1063961,M,Black
1063986,M,Black
1063980,M,White
1063990,M,Black
1063991,F,Hispanic
1063985,F,White
1063989,M,White
1063983,M,Hispanic
1063994,F,White
1063993,F,Black
1063982,M,White
1063992,M,White
1063995,M,Hispanic
1064029,M,Black
1064024,F,Black
1064028,F,Black
1063856,M,Black
1064029,F,Black
1064029,F,Black
1063856,M,Black
1064039,M,Hispanic
1064036,M,White
1064043,F,Hispanic
1064037,M,Black
1064047,F,Black
1064044,M,Black
1064038,M,Black
1064048,F,White
1064042,F,Black
1064041,M,Black
1064044,M,Black
1064046,F,Black
1064045,M,Black
1064044,M,White
1064040,F,White
1064069,M,Black
1063797,F,Black
1064072,M,White
1064077,M,Black
1063673,M,Black
1063675,M,Black
1063672,M,Black
1063678,M,Black
1063677,F,Black
1063683,M,Black
1063682,M,Black
1063684,M,Black
1063252,M,Black
1056787,M,Asian/Pacific Islander
1059198,M,Black
1063170,M,Black
1063189,F,Black
1057905,M,Black
1063880,F,Black
1063881,M,Black
1063881,F,Black
1063882,M,Hispanic
1063886,M,Black
1063888,M,Black
1063884,"",""
1063885,M,Black
1063883,F,Black
1063887,M,Black
1061097,F,Black
1061097,M,Black
1062060,F,White
1061708,F,Black
1056892,M,Black
1060001,M,Black
1061851,M,Black
1022929,F,Hispanic
1054398,M,Black
1062863,M,White
1063356,M,Black
1063361,M,Black
1063357,F,Black
1063358,F,Black
1063355,M,Black
1063359,M,Black
1063360,M,White
1061849,F,White
1063352,"",""
1063366,F,White
1046361,M,Black
1051850,M,Hispanic
1053430,M,Black
1053430,M,Black
1063651,F,Black
1063649,M,Hispanic
1063652,F,White
1063319,M,Hispanic
1063646,M,Black
1063650,F,Hispanic
1063621,M,Black
1062756,F,Black
1052620,M,White
1059884,M,Black
1059884,F,Black
1063797,M,Black
1020616,F,Black
1063152,M,Hispanic
1062543,M,Hispanic
1062529,F,White
1062543,M,Hispanic
1062529,M,Hispanic
1063799,M,Black
1062543,M,Hispanic
1063797,F,Black
1063631,M,Black
1063386,F,Black
1063799,F,Black
1063795,M,Black
1063800,M,Black
1063686,M,""
1063688,M,Black
1063687,F,Black
1063691,M,Black
1063694,M,Black
1063693,M,White
1063693,F,White
1063690,F,Black
1063689,F,Hispanic
1063692,M,Black
1050140,F,Black
1050140,F,Black
1063912,F,Hispanic
1061358,M,Hispanic
1063291,F,Hispanic
1063155,M,Black
1063155,F,Black
1063155,M,Black
1063155,F,Black
1063155,F,Black
1063371,M,Black
1063370,M,White
1063363,F,White
1063365,M,Black
1063373,M,White
1063375,F,Black
1063375,M,Black
1063375,M,Black
1063375,F,Black
1063375,F,Black
1063374,F,Black
1063375,F,Black
1059751,M,Black
1063368,F,Black
1063372,M,Black
1063367,F,Black
1063362,F,Black
1063369,M,Black
1063368,M,Black
