id,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,race,gender
32312,65.6966,62.9589,0.0000,63.0035,10,0,7,White,M
32358,88.5838,86.4605,0.0000,67.9110,24,0,6,White,M
32480,0.0000,33.1953,0.0000,0.0000,0,0,4,White,M
32491,0.0000,51.4927,0.0000,0.0000,0,0,4,White,M
2680,,0.0000,,,0,0,0,White,M
29553,,0.0000,,,0,0,0,White,M
19974,,0.0000,,,0,0,0,White,M
8259,,0.0000,,,0,0,0,White,M
17716,,,,,0,0,0,White,M
19659,,0.0000,,,0,0,0,White,M
32506,0.0000,0.0000,0.0000,0.0000,0,0,1,White,M
29111,,0.0000,,,0,0,0,Black,M
1791,,0.0000,,,0,0,0,Black,M
17146,,0.0000,,,0,0,0,White,M
17242,,0.0000,,,0,0,0,White,M
17289,,0.0000,,,0,0,0,White,M
32467,0.0000,62.2247,0.0000,0.0000,0,0,0,Black,M
33755,,,,,1,1,0,Black,F
333,,,,,0,0,0,Black,M
18597,,0.0000,,,0,0,0,White,M
33725,,,,,1,0,0,Hispanic,M
16356,,0.0000,,,0,0,0,White,M
33770,,,,,0,0,0,White,M
33771,,,,,0,0,0,Black,F
33809,,,,,0,0,0,White,M
32479,0.0000,66.5071,0.0000,0.0000,0,0,0,Black,M
32481,0.0000,70.0165,0.0000,0.0000,0,0,0,White,M
30601,,,,,0,0,0,White,M
33695,,,,,0,0,0,White,M
33701,,,,,0,0,0,Black,F
33717,,,,,0,0,0,White,M
2239,,0.0000,,,0,0,0,White,M
32537,,,,,0,0,0,Unknown,M
6708,,0.0000,,,0,0,0,White,M
4585,,0.0000,,,0,0,0,White,M
8937,,0.0000,,,0,0,0,Black,M
7512,,0.0000,,,0,0,0,White,M
23065,,0.0000,,,0,0,0,White,M
23825,,0.0000,,,0,0,0,Black,M
25791,,0.0000,,,0,0,0,White,M
35111,,,,,,,,Unknown,M
13203,,0.0000,,,0,0,0,White,M
13443,,0.0000,,,0,0,0,White,M
23985,,0.0000,,,0,0,0,White,M
14210,,0.0000,,,0,0,0,White,M
14872,,0.0000,,,0,0,0,White,M
16776,,0.0000,,,0,0,0,White,M
33748,,,,,1,1,0,Hispanic,F
33749,,,,,1,1,0,Black,M
33750,,,,,1,1,0,Black,F
33751,,,,,1,1,0,White,M
33752,,,,,1,1,0,Asian/Pacific,M
33753,,,,,1,1,0,Black,F
33758,,,,,1,1,0,Hispanic,F
33746,,,,,1,0,0,White,M
33709,,,,,1,0,0,Black,F
